model,metric,k,value
Gecko-110m-en (int8),recall,1.0,0.8431372549019608
Gecko-110m-en (int8),recall,3.0,0.9705882352941176
Gecko-110m-en (int8),recall,5.0,0.9803921568627452
Gecko-110m-en (int8),recall,10.0,1.0
Gecko-110m-en (int8),recall,20.0,1.0
Gecko-110m-en (int8),recall,40.0,1.0
Gecko-110m-en (int8),precision,1.0,0.825
Gecko-110m-en (int8),precision,3.0,0.3583333333333333
Gecko-110m-en (int8),precision,5.0,0.22000000000000003
Gecko-110m-en (int8),precision,10.0,0.11500000000000002
Gecko-110m-en (int8),precision,20.0,0.05750000000000001
Gecko-110m-en (int8),precision,40.0,0.028750000000000005
Gecko-110m-en (int8),hit,1.0,0.9705882352941176
Gecko-110m-en (int8),hit,3.0,1.0
Gecko-110m-en (int8),hit,5.0,1.0
Gecko-110m-en (int8),hit,10.0,1.0
Gecko-110m-en (int8),hit,20.0,1.0
Gecko-110m-en (int8),hit,40.0,1.0
Gecko-110m-en (int8),ndcg,1.0,0.9558823529411765
Gecko-110m-en (int8),ndcg,3.0,0.9677107436977934
Gecko-110m-en (int8),ndcg,5.0,0.9713448155670884
Gecko-110m-en (int8),ndcg,10.0,0.9786807682592424
Gecko-110m-en (int8),ndcg,20.0,0.9786807682592424
Gecko-110m-en (int8),ndcg,40.0,0.9786807682592424
Gecko-110m-en (int8),mrr,,0.9852941176470589
Gecko-110m-en (int8),separability,,0.1952687712276683
